"Plate_ID","Well_ID","Row","Col","SampleID","Genotype","BacthID","Seeding_density","Treatment"
"BA071Q4","A01","A",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"no"
"BA071Q4","B01","B",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"no"
"BA071Q4","C01","C",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"0.1umM Stauroporine"
"BA071Q4","D01","D",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"0.1umM Stauroporine"
"BA071Q4","E01","E",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"0.1umM Stauroporine"
"BA071Q4","F01","F",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"0.05% DMSO"
"BA071Q4","G01","G",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"0.05% DMSO"
"BA071Q4","H01","H",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"0.05% DMSO"
"BA071Q4","A02","A",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Brivanib (BMS-540215)"
"BA071Q4","B02","B",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"ZSTK474"
"BA071Q4","C02","C",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"SB 216763"
"BA071Q4","D02","D",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"SB 203580"
"BA071Q4","E02","E",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"SU11274"
"BA071Q4","F02","F",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"SB 202190"
"BA071Q4","G02","G",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Crizotinib (PF-02341066)"
"BA071Q4","H02","H",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"MK-2206 dihydrochloride"
